id,uuid,observed_on,url,image_url
4330844,731eb1d8-c332-4d09-b26e-2b5da698ba4a,2008-01-01,http://www.inaturalist.org/observations/4330844,https://inaturalist-open-data.s3.amazonaws.com/photos/5198881/medium.jpg
4415242,9a343968-908d-4283-8349-334f25d78dda,2016-10-10,http://www.inaturalist.org/observations/4415242,https://inaturalist-open-data.s3.amazonaws.com/photos/5306892/medium.jpeg
4882652,0b44976e-931e-42d8-95b3-aa21fbe0343a,2017-01-01,https://www.inaturalist.org/observations/4882652,https://inaturalist-open-data.s3.amazonaws.com/photos/5936224/medium.jpeg
4950304,69151a81-7bb5-418c-832b-806d53c9cc36,2017-01-15,https://www.inaturalist.org/observations/4950304,https://inaturalist-open-data.s3.amazonaws.com/photos/6037979/medium.jpg
4964646,bf405f86-1526-484e-8b78-872c60a5c38e,2017-01-17,https://www.inaturalist.org/observations/4964646,https://static.inaturalist.org/photos/6057194/medium.jpg
5000470,3b8b99e7-fcdb-40e3-845f-39ddb63e1691,2017-01-24,https://www.inaturalist.org/observations/5000470,https://inaturalist-open-data.s3.amazonaws.com/photos/6112517/medium.jpg
5007589,28b9124a-edd2-4594-92f7-ab5cea1b9c19,2017-01-25,https://www.inaturalist.org/observations/5007589,https://inaturalist-open-data.s3.amazonaws.com/photos/6123050/medium.jpeg
5020034,232f7094-088c-4eee-89a9-fb42c9937100,2017-01-28,https://www.inaturalist.org/observations/5020034,https://inaturalist-open-data.s3.amazonaws.com/photos/6142139/medium.jpg
5031200,d0e713bf-bc01-443c-b113-18618493d8db,2017-01-30,https://www.inaturalist.org/observations/5031200,https://inaturalist-open-data.s3.amazonaws.com/photos/6159632/medium.jpg
5038293,2f2d4ef0-b809-409d-ae57-4452d16e6b65,2017-02-01,https://www.inaturalist.org/observations/5038293,https://inaturalist-open-data.s3.amazonaws.com/photos/6171235/medium.jpg
5048314,1c217c4c-0ede-4d03-afbd-656b246d0af0,2017-02-03,https://www.inaturalist.org/observations/5048314,https://inaturalist-open-data.s3.amazonaws.com/photos/6186793/medium.jpg
5054747,18e19bcc-a682-454a-a162-a6ab30026684,2017-02-04,https://www.inaturalist.org/observations/5054747,https://static.inaturalist.org/photos/6196908/medium.jpeg
